K,Variance,PSNR
5,0.9306317784302043,22.578576439755153
10,0.9954951302053116,34.45335961396927
15,0.9997954506185092,47.88220033745621
20,1.0,308.0264362974423
25,1.0,307.98812751454886
5,0.9111714208039204,21.007484364033896
10,0.9957033137134791,34.16167506326037
15,0.999762674782613,46.739572647183806
20,1.0000000000000002,309.5160089745306
25,1.0000000000000002,309.4717371874611
5,0.9677126054182362,27.814541670334165
10,0.9989827383251373,42.83054485401884
15,1.0,315.4874480779896
20,1.0,315.3781007324026
25,1.0,315.2610061461887
5,0.9562501433385393,26.020035155922795
10,0.9980027462143186,39.425468970531576
15,1.0,307.0447772999848
20,1.0,307.0258937786668
25,1.0,307.00729159360935
5,0.9559989771724176,25.54898310013874
10,0.9961426715823698,36.120744652272776
15,1.0,310.74913377743576
20,1.0,310.69880420069325
25,1.0,310.6506288898016
5,0.9409692954137271,23.029544426360662
10,0.9943943456432919,33.254060938390204
15,0.9998115209458215,47.98769315850969
20,0.9999999999999999,307.6767817182365
25,0.9999999999999999,307.6351642998981
5,0.9956347404945225,37.996031733809616
10,1.0,309.5751091682542
15,1.0,309.5417045876531
20,1.0,309.5085549847334
25,1.0,309.47565649646583
5,0.9607205049313503,24.356898739515273
10,0.9953438672882918,33.61830419995934
15,0.9999322029669909,51.98645081997725
20,0.9999999999999999,309.30217469971234
25,0.9999999999999999,309.2322199227318
5,1.0,319.16649337148436
10,1.0,318.96585019151775
15,1.0,318.7837838813591
20,1.0,318.6090440975908
25,1.0,318.44106392668243
5,0.9034126559555252,21.903002429672853
10,0.9909303759510473,32.17631181781496
15,0.9996789805675522,46.6868914439458
20,0.9999999999999996,306.23710495484227
25,0.9999999999999996,306.2207321926858
5,0.9621807981828959,26.207158961634644
10,0.9979432048001613,38.852372048080845
15,1.0,314.41781589541154
20,1.0,314.2382408412704
25,1.0,314.0657970851661
5,0.9098311976193254,23.52908580532484
10,0.9982426071841366,40.63096035265454
15,1.0000000000000002,311.36238625458947
20,1.0000000000000002,311.33930490253346
25,1.0000000000000002,311.3061356898832
5,0.9550216048403352,23.52851856851728
10,0.9930832541934347,31.659539970328442
15,0.9997059091461696,45.37374294251262
20,0.9999999999999999,311.47869014672904
25,0.9999999999999999,311.3779867495174
5,0.9337833138817055,22.98675234213247
10,0.9948507604638274,34.0789958132971
15,0.9999931767804435,62.856533303045204
20,0.9999999999999999,309.7231831999863
25,0.9999999999999999,309.67147553271775
5,0.9999999999999998,320.03637994038945
10,0.9999999999999998,319.75142330086464
15,0.9999999999999998,319.50183023913894
20,0.9999999999999998,319.26580528132666
25,0.9999999999999998,319.04194902490144
5,0.9263427812822738,22.442801947721502
10,0.9941966842396933,33.47819309413275
15,0.9999910912793906,61.61680171686588
20,1.0,310.2882323766979
25,1.0,310.23233975100186
5,0.9054522140048389,21.620074494281344
10,0.9954993692427051,34.8438542912598
15,0.9999460219268538,54.05441435450931
20,1.0,311.5581122840144
25,1.0,311.4886835706217
5,0.9126785912706181,22.034480294839234
10,0.9969038611949723,36.53748340328782
15,0.9999675176578253,56.32921425939649
20,1.0000000000000002,310.90120617148403
25,1.0000000000000002,310.8423505349955
5,0.9077343225272332,24.488705980822566
10,0.9995237047110107,47.3603448708749
15,0.9999999999999999,301.729279728268
20,0.9999999999999999,301.72661749603304
25,0.9999999999999999,301.72395689475104
5,0.9294006671995341,24.474804211470595
10,0.9975403823654699,39.054134198036955
15,0.9999999999999997,314.04250764171644
20,0.9999999999999997,313.9531062951715
25,0.9999999999999997,313.8655082535677
5,0.9444189844514388,23.02453943483129
10,0.9952012742215643,33.662544881789174
15,0.999601468972596,44.469182824131224
20,1.0000000000000002,310.26288933792773
25,1.0000000000000002,310.16724663207646
5,0.9209967107095203,21.077945999013664
10,0.9928879663873914,31.5344597284373
15,0.9996415000697295,44.509506978240026
20,1.0,308.50644242602215
25,1.0,308.4641788632316
5,0.9114941252679961,24.035424821008395
10,0.9993376513851177,45.294279483657
15,1.0000000000000002,313.3747602403007
20,1.0000000000000002,313.32839488889016
25,1.0000000000000002,313.2825193105231
5,0.9559453294353277,26.13377373882865
10,0.9952659573018747,35.821371611963045
15,1.0,312.826699979041
20,1.0,312.75833475711977
25,1.0,312.69102906106986
5,0.9666985562664691,27.411444081984783
10,0.9986647031641196,41.38029650391723
15,0.9999966331742711,67.36386832966056
20,0.9999999999999999,310.171058432663
25,0.9999999999999999,310.1256960273004
5,0.9682918377842892,24.746412114357813
10,0.9954737002166537,33.20068968249289
15,0.9996134834227319,43.88644157705354
20,1.0000000000000002,311.39347646375586
25,1.0000000000000002,311.24965997213553
5,0.9518900128165544,27.417667793591743
10,0.999509106226469,47.33014496997213
15,1.0,312.2231790411666
20,1.0,312.18276674778576
25,1.0,312.1427270375604
5,0.9694280976874263,24.718670038999285
10,0.9960290136670787,33.58291074758996
15,0.9999764635325519,55.854481862888704
20,0.9999999999999999,304.96290578190604
25,0.9999999999999999,304.9269780549026
5,0.9572469184155117,23.221185465555216
10,0.9921376976483192,30.57536229131179
15,0.9993465902851736,41.3790038287691
20,1.0000000000000002,308.4114133762949
25,1.0000000000000002,308.33333742718037
5,0.9699066278233465,28.16103508310992
10,0.9976213826051996,39.18249774018128
15,1.0,308.4058769271386
20,1.0,308.3765398565855
25,1.0,308.34739963220096
5,0.9517249207643812,24.451899243381497
10,0.9965927892360459,35.965139205358334
15,0.9999984353941677,69.34507974832135
20,0.9999999999999999,308.96800655433094
25,0.9999999999999999,308.90863363432175
5,0.9326700992363992,22.136054984175
